parent	children
chips-and-fries	fries
chips-and-fries	crisps
crisps	potato-crisps
crisps	corn-chips
crisps	cassava-crisps
crisps	sweet-potato-crisps
crisps	quinoa-crisps
crisps	parsnip-crisps
potato-crisps	potato-crisps-in-olive-oil
potato-crisps	light-potato-crisps
potato-crisps	old-fashioned-crisps
potato-crisps	crisps-of-red-potatoes
potato-crisps	farmer's-crisps
potato-crisps	salt-and-vinegar-crisps
potato-crisps	potato-crisps-in-sunflower-oil
potato-crisps	flavoured-potato-crisps
flavoured-potato-crisps	ketchup-crisps
flavoured-potato-crisps	paprika-crisps
flavoured-potato-crisps	roasted-chicken-and-thyme-crisps
flavoured-potato-crisps	sour-cream-and-sweet-chilli-crisps
flavoured-potato-crisps	cheddar-and-onion-crisps
flavoured-potato-crisps	prawn-cocktail-crisps
flavoured-potato-crisps	salt-and-pepper-crisps
flavoured-potato-crisps	barbecue-crisps
flavoured-potato-crisps	bolognese-crisps
flavoured-potato-crisps	cheese-and-onion-crisps
cheese-and-onion-crisps	cheddar-and-onion-crisps
salt-and-vinegar-crisps	salt-and-malt-vinegar-crisps
fries	frozen-fries
artisan-products	artisanal-spirits
artisan-products	artisan-jams
artisan-products	handmade-breadsticks
artisan-products	artisan-cheeses
artisanal-spirits	artisanal-ciders
artisanal-spirits	craft-beers
syrups	flavoured-syrups
syrups	simple-syrups
simple-syrups	birch-syrups
simple-syrups	maple-syrups
simple-syrups	fruit-syrups
simple-syrups	agave-syrups
simple-syrups	molasses
simple-syrups	cereal-syrups
cereal-syrups	brown-rice-syrups
cereal-syrups	corn-syrups
cereal-syrups	quinoa-syrups
cereal-syrups	barley-malt-syrup
cereal-syrups	wheat-syrups
cereal-syrups	high-fructose-corn-syrups
wheat-syrups	spelt-syrups
maple-syrups	maple-syrups-from-québec
maple-syrups	amber-maple-syrups
maple-syrups	medium-maple-syrups
maple-syrups	extra-light-maple-syrups
maple-syrups	dark-maple-syrups
maple-syrups	light-maple-syrups
flavoured-syrups	chestnut-syrups
flavoured-syrups	syrups-with-fruits
flavoured-syrups	rose-syrups
flavoured-syrups	sugar-free-flavoured-syrups
flavoured-syrups	syrups-with-anise
flavoured-syrups	mint-syrups
flavoured-syrups	apple-syrups
flavoured-syrups	grenadine
flavoured-syrups	mojito-syrups
flavoured-syrups	raspberry-syrups
flavoured-syrups	cola-syrups
flavoured-syrups	violet-syrups
flavoured-syrups	strawberry-syrups
flavoured-syrups	peach-syrups
flavoured-syrups	lemon-syrups
flavoured-syrups	blackcurrant-syrups
flavoured-syrups	orange-syrups
flavoured-syrups	cherry-syrups
flavoured-syrups	mirabelle-syrups
flavoured-syrups	blueberry-syrups
flavoured-syrups	kiwi-syrups
flavoured-syrups	pineapple-syrups
flavoured-syrups	orgeat-syrups
flavoured-syrups	lime-syrups
flavoured-syrups	watermelon-syrups
honey	oak-honeys
lardons	smoked-lardons
