	code	name	image	n_additives	nutriscore	energy_100g	energy.from.fat_100g	fat_100g	saturated.fat_100g	monounsaturated.fat_100g	polyunsaturated.fat_100g	omega.3.fat_100g	omega.6.fat_100g	omega.9.fat_100g	trans.fat_100g	cholesterol_100g	carbohydrates_100g	sugars_100g	starch_100g	polyols_100g	fiber_100g	proteins_100g	casein_100g	serum.proteins_100g	nucleotides_100g	salt_100g	sodium_100g	alcohol_100g	vitamin.a_100g	beta.carotene_100g	vitamin.d_100g	vitamin.e_100g	vitamin.k_100g	vitamin.c_100g	vitamin.b1_100g	vitamin.b2_100g	vitamin.pp_100g	vitamin.b6_100g	vitamin.b9_100g	folates_100g	vitamin.b12_100g	biotin_100g	pantothenic.acid_100g	silica_100g	bicarbonate_100g	potassium_100g	chloride_100g	calcium_100g	phosphorus_100g	iron_100g	magnesium_100g	zinc_100g	copper_100g	manganese_100g	fluoride_100g	selenium_100g	chromium_100g	molybdenum_100g	iodine_100g	caffeine_100g	taurine_100g	ph_100g	fruits.vegetables.nuts_100g	fruits.vegetables.nuts.estimate_100g	collagen.meat.protein.ratio_100g	cocoa_100g	chlorophyl_100g	carbon.footprint_100g	nutrition.score.fr_100g	nutrition.score.uk_100g	glycemic.index_100g	water.hardness_100g	choline_100g	phylloquinone_100g	beta.glucan_100g	inositol_100g	carnitine_100g
15	7730009	Biscuits sablés fourrage au cacao	https://static.openfoodfacts.org/images/products/000/000/773/0009/front.6.200.jpg	3		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
87	11679	All Butter Cookies Belgian Chocolate Chunk		3	e	2096	NA	26	15.2	NA	NA	NA	NA	NA	NA	NA	60.1	37.4	NA	NA	2.8	5.4	NA	NA	NA	0.899999999999999	0.354330708661417	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	24	24	NA	NA	NA	NA	NA	NA	NA
88	11686	All Butter Sultana Cookies	https://static.openfoodfacts.org/images/products/00011686/front.3.200.jpg	3	e	1866	NA	17.9	11	NA	NA	NA	NA	NA	NA	NA	64.3	34.7	NA	NA	3	5.5	NA	NA	NA	0.850000000000001	0.334645669291339	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	21	21	NA	NA	NA	NA	NA	NA	NA
89	11693	All Butter Belgian White Chocolate Chunk Cookies	https://static.openfoodfacts.org/images/products/00011693/front.10.200.jpg	3	e	2171	NA	29.1	17	NA	NA	NA	NA	NA	NA	NA	58.4	33.5	NA	NA	1.3	5.5	NA	NA	NA	1	0.393700787401575	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	26	26	NA	NA	NA	NA	NA	NA	NA
90	11709	All Butter Fruity Flapjack Cookies	https://static.openfoodfacts.org/images/products/00011709/front.6.200.jpg	5	e	1887	NA	20.5	13.3	NA	NA	NA	NA	NA	NA	NA	59.3	36.5	NA	NA	4.2	5.1	NA	NA	NA	0.779999999999999	0.307086614173228	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	27	NA	NA	NA	NA	21	21	NA	NA	NA	NA	NA	NA	NA
91	11723	Cookies aux pistaches et amandes		3	e	2209	NA	32.1	14.9	NA	NA	NA	NA	NA	NA	NA	46.9	20.7	NA	NA	4.5	10.7	NA	NA	NA	0.7	0.275590551181102	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	19	19	NA	NA	NA	NA	NA	NA	NA
92	11730	All butter Cranberry & Orange Cookies	https://static.openfoodfacts.org/images/products/00011730/front.7.200.jpg	5	e	1806	NA	15.2	8.6	NA	NA	NA	NA	NA	NA	NA	67.5	41.2	NA	NA	2.7	4.4	NA	NA	NA	0.75	0.295275590551181	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	22	22	NA	NA	NA	NA	NA	NA	NA
93	11747	Triple Belgian Chocolaté Chunk Cookies	https://static.openfoodfacts.org/images/products/00011747/front.3.200.jpg	0	e	2184	NA	29.3	17	NA	NA	NA	NA	NA	NA	NA	57.4	34.4	NA	NA	2.9	5.6	NA	NA	NA	0.85	0.334645669291339	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	23	23	NA	NA	NA	NA	NA	NA	NA
94	11754	Cookies Stem Ginger		3	e	1979	NA	20.8	13.7	NA	NA	NA	NA	NA	NA	NA	63.6	31.8	NA	NA	3.3	6.1	NA	NA	NA	0.58	0.228346456692913	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	20	20	NA	NA	NA	NA	NA	NA	NA
95	11778	Stem Ginger Cookies		4	d	1809	NA	13.3	7	NA	NA	NA	NA	NA	NA	NA	70.2	35.7	NA	NA	2.5	6.1	NA	NA	NA	0.83	0.326771653543307	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	18	18	NA	NA	NA	NA	NA	NA	NA
96	11815	Stem Ginger Dunkers	https://static.openfoodfacts.org/images/products/00011815/front.8.200.jpg	3	e	1981	NA	20.8	13.7	NA	NA	NA	NA	NA	NA	NA	63.6	31.8	NA	NA	3.3	6.1	NA	NA	NA	0.570000000000001	0.224409448818898	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	20	20	NA	NA	NA	NA	NA	NA	NA
109	19101	Highland Shortbread - All Butter Fingers		0	e	2188	NA	28.8	18.8	NA	NA	NA	NA	NA	NA	NA	60.4	18.7	NA	NA	NA	4.8	NA	NA	NA	0.65	0.255905511811024	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	22	22	NA	NA	NA	NA	NA	NA	NA
117	23092	4 Indulgent & Chewy Maple Syrup & Pecan Giant Cookies		2	d	2030	NA	26.8	7.6	NA	NA	NA	NA	NA	NA	NA	54.2	29.4	NA	NA	1.9	6	NA	NA	NA	0.370000000000001	0.145669291338583	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	12	NA	NA	NA	NA	NA	18	18	NA	NA	NA	NA	NA	NA	NA
122	25942	Scottish Shortbreads		1	e	2192	NA	29.2	18.2	NA	NA	NA	NA	NA	NA	NA	58.1	14.8	NA	NA	NA	5.4	NA	NA	NA	0.6	0.236220472440945	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	21	21	NA	NA	NA	NA	NA	NA	NA
125	28097	All Butter Viennese Milk Chocolate Dipped Fingers		1	e	2205	NA	29.7	18.2	NA	NA	NA	NA	NA	NA	NA	58.6	27.8	NA	NA	1.8	5.4	NA	NA	NA	0.7	0.275590551181102	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	24	24	NA	NA	NA	NA	NA	NA	NA
