	code	additive
31	7730009	e503
32	7730009	e322
33	7730009	e1400
195	11679	e500ii
196	11679	e500
197	11679	e450
198	11679	e503
199	11686	e500ii
200	11686	e500
201	11686	e450
202	11686	e503
203	11693	e322i
204	11693	e500ii
205	11693	e322
206	11693	e500
207	11693	e450
208	11709	e503
209	11709	e502
210	11709	e500ii
211	11709	e500
212	11709	e450
213	11709	e220
214	11723	e500ii
215	11723	e500
216	11723	e450
217	11723	e503
218	11730	e503
219	11730	e502
220	11730	e500ii
221	11730	e330
222	11730	e500
223	11730	e450
224	11754	e500ii
225	11754	e500
226	11754	e450
227	11754	e503
228	11778	e503
229	11778	e322i
230	11778	e500ii
231	11778	e322
232	11778	e500
233	11778	e450
234	11815	e500ii
235	11815	e500
236	11815	e450
237	11815	e503
274	23092	e500ii
275	23092	e500
276	23092	e450
282	25942	e503
302	28097	e322
303	28097	e322i
311	28271	e503
344	47852	e500ii
345	47852	e500
389	8077102146	e500ii
390	8077102146	e500
391	8077102146	e322
392	8077102146	e322i
644	117746	e503
645	117746	e322i
646	117746	e500ii
647	117746	e322
648	117746	e500
649	117746	e450
650	11778	e503
651	11778	e322i
652	11778	e500ii
653	11778	e322
654	11778	e500
655	11778	e450
800	14100042631	e150a
801	14100042631	e322
802	14100042631	e322i
809	14100074038	e322
810	14100074038	e322i
813	14100074359	e322
814	14100074359	e322i
822	14100074724	e150a
823	14100074724	e322
824	14100074724	e322i
825	14100075226	e322
826	14100075226	e322i
827	14100077121	e322
828	14100077121	e322i
864	14100096979	e503
865	14100096979	e336
866	14100096979	e322i
867	14100096979	e500ii
868	14100096979	e322
869	14100096979	e500
870	14100096986	e503
871	14100096986	e336
872	14100096986	e150d
873	14100096986	e322i
874	14100096986	e500ii
875	14100096986	e322
876	14100096986	e500
877	14100097006	e503
878	14100097006	e336
879	14100097006	e322i
880	14100097006	e500ii
881	14100097006	e322
882	14100097006	e500
883	14100097013	e503
884	14100097013	e336
885	14100097013	e322i
886	14100097013	e500ii
887	14100097013	e322
888	14100097013	e500
889	14100097037	e503
890	14100097037	e336
891	14100097037	e440
892	14100097037	e322i
893	14100097037	e500ii
894	14100097037	e322
895	14100097037	e500
896	14100098980	e503
897	14100098980	e336
898	14100098980	e336i
899	14100098980	e440
900	14100098980	e322i
901	14100098980	e500ii
902	14100098980	e322
903	14100098980	e440i
904	14100098980	e500
905	14100098980	e503ii
1139	18000817818	e541
1140	18000817818	e415
1141	18000817818	e322
1142	18000817818	e322i
1156	184281	e500ii
1157	184281	e500
1158	184281	e502
1159	184311	e500ii
1160	184311	e500
1209	19320015441	e322
1210	19320015441	e322i
1235	198370	e290
1255	20200070061	e150a
1256	20200070061	e322
1257	20200070061	e322i
1534	24300041112	e541
1535	24300041112	e471
1536	24300041112	e428
1537	24300041112	e322i
1538	24300041112	e322
1539	24300041112	e472e
1644	265768	e503
1645	265768	e322i
1646	265768	e500ii
1647	265768	e322
1648	265768	e500
1649	265768	e450
1838	30100053149	e341i
1839	30100053149	e341
1840	30100053149	e322
1841	30100053149	e322i
1842	30100103417	e133
1843	30100103417	e102
1844	30100103417	e110
1845	30100103417	e1400
1846	30100103417	e322i
1847	30100103417	e500ii
1848	30100103417	e129
1849	30100103417	e322
1850	30100103417	e500
2027	33454002535	e500ii
2028	33454002535	e341i
2029	33454002535	e500
2030	33454002535	e450
2031	33454002535	e341
2564	39047001824	e322
2565	39047001824	e322i
2566	39047010215	e322
2567	39047010215	e322i
2568	39047011496	e322
2569	39047011496	e322i
2584	39047816084	e322i
2585	39047816084	e500ii
2586	39047816084	e322
2587	39047816084	e450i
2588	39047816084	e500
2589	39047816084	e450
2692	404426	e322
2693	404426	e471
2694	404426	e322i
3168	44000007492	e322
3169	44000007492	e322i
3170	44000012625	e322
3171	44000012625	e322i
3189	44000032029	e322
3190	44000032029	e322i
3191	44000032586	e322
3192	44000032586	e322i
3193	44000033279	e322
3194	44000033279	e322i
3195	44000033392	e150a
3196	44000033392	e322
3197	44000033392	e322i
3199	44000037420	e322
3200	44000037420	e322i
3201	44000043551	e322i
3202	44000043551	e322
3203	44000043551	e450i
3204	44000043551	e472e
3205	44000043551	e450
3206	44000044435	e322
3207	44000044435	e322i
3208	44000072742	e322
3209	44000072742	e322i
3210	44000088453	e322
3211	44000088453	e322i
3277	46214230208	e450
3295	469258	e503
3296	469258	e322i
3297	469258	e500ii
3298	469258	e322
3299	469258	e500
3300	469258	e450
3435	50000622313	e541
3436	50000622313	e322
3437	50000622313	e322i
3657	534215	e160b
3658	534215	e150a
3659	534215	e322
3660	534215	e322i
3661	537742	e503
3662	537742	e322i
3663	537742	e500ii
3664	537742	e322
3665	537742	e500
3666	537742	e450
3794	55653630104	e322
3795	55653630104	e322i
3956	580328	e322
3957	580328	e322i
4016	587761	e500ii
4017	587761	e500
4018	587761	e450
4028	59290500677	e500ii
4029	59290500677	e500
4092	59749952903	e500ii
4093	59749952903	e500
4094	59749952903	e175
4117	60383022716	e322
4118	60383022716	e322i
4254	63054170204	e322
4255	63054170204	e322i
4331	64042003900	e500ii
4332	64042003900	e500
4333	64042003900	e322
4334	64042003900	e322i
4337	64042006079	e471
4338	64042006079	e322i
4339	64042006079	e500ii
4340	64042006079	e322
4341	64042006079	e500
4584	66721005694	e322
4585	66721005694	e322i
4616	672566	e500ii
4617	672566	e500
4638	67312005529	e965ii
4639	67312005529	e965i
4640	67312005529	e420i
4641	67312005529	e420
4642	67312005529	e150
4643	67312005529	e500ii
4644	67312005529	e965
4645	67312005529	e500
5274	72417140693	e322i
5275	72417140693	e500
5276	72417140693	e500ii
5277	72417140693	e322
5278	72417140693	e476
5279	72417140693	e442
5280	72417145889	e503
5281	72417145889	e322i
5282	72417145889	e500ii
5283	72417145889	e322
5284	72417145889	e500
5285	72417146831	e322i
5286	72417146831	e500ii
5287	72417146831	e322
5288	72417146831	e476
5289	72417146831	e500
5307	72417156069	e503
5308	72417156069	e322i
5309	72417156069	e500ii
5310	72417156069	e322
5311	72417156069	e476
5312	72417156069	e500
5473	73490123504	e450
5474	73490123504	e322
5475	73490123504	e223
5476	73490123504	e322i
5492	741095	e500ii
5493	741095	e500
5494	741095	e450
5841	76580004912	e322i
5842	76580004912	e500ii
5843	76580004912	e322
5844	76580004912	e450i
5845	76580004912	e500
5846	76580004912	e450
5850	76677100145	e322
5851	76677100145	e322i
5860	76809300900	e322
5861	76809300900	e471
5862	76809300900	e322i
6067	78619001220	e133
6068	78619001220	e102
6069	78619001220	e110
6070	78619001220	e322i
6071	78619001220	e129
6072	78619001220	e322
6073	78619001220	e1520
6101	78742038520	e491
6102	78742038520	e322i
6103	78742038520	e150a
6104	78742038520	e322
6105	78742038520	e450
6106	78742038520	e435
6336	82011913357	e415
6337	82011913357	e965i
6338	82011913357	e420i
6339	82011913357	e481
6340	82011913357	e420
6341	82011913357	e322i
6342	82011913357	e1200
6343	82011913357	e950
6344	82011913357	e955
6345	82011913357	e150a
6346	82011913357	e322
6347	82011913357	e965
6348	82011913357	e450
6476	85666012253	e570
6898	917025	e440
6899	917025	e471
6900	917025	e322i
6901	917025	e322
