code	name	image	n_additives	nutriscore	nova	energy_100g	energy-from-fat_100g	fat_100g	saturated-fat_100g	monounsaturated-fat_100g	polyunsaturated-fat_100g	omega-3-fat_100g	omega-6-fat_100g	omega-9-fat_100g	trans-fat_100g	cholesterol_100g	carbohydrates_100g	sugars_100g	starch_100g	polyols_100g	fiber_100g	proteins_100g	casein_100g	serum-proteins_100g	nucleotides_100g	salt_100g	sodium_100g	alcohol_100g	vitamin-a_100g	beta-carotene_100g	vitamin-d_100g	vitamin-e_100g	vitamin-k_100g	vitamin-c_100g	vitamin-b1_100g	vitamin-b2_100g	vitamin-pp_100g	vitamin-b6_100g	vitamin-b9_100g	folates_100g	vitamin-b12_100g	biotin_100g	pantothenic-acid_100g	silica_100g	bicarbonate_100g	potassium_100g	chloride_100g	calcium_100g	phosphorus_100g	iron_100g	magnesium_100g	zinc_100g	copper_100g	manganese_100g	fluoride_100g	selenium_100g	chromium_100g	molybdenum_100g	iodine_100g	caffeine_100g	taurine_100g	ph_100g	fruits-vegetables-nuts_100g	fruits-vegetables-nuts-estimate_100g	collagen-meat-protein-ratio_100g	cocoa_100g	chlorophyl_100g	carbon-footprint_100g	nutrition-score-fr_100g	nutrition-score-uk_100g	glycemic-index_100g	water-hardness_100g	choline_100g	phylloquinone_100g	beta-glucan_100g	inositol_100g	carnitine_100g
0000000001885	Compote de poire		0	a		657		0	0								36	27			3.6	0.6				0	0																																										-2	-2							
000000001772	Mélange fruits secs		0																																																																										
0000009125124	Compote de Pomme		1	b	4	1577		0.5	0.1								93	66				1.5				0.02	0.0078740157480315																																					76					1	1							
0000026061993	Clémentines		0																																																																										
00015356	Strawberries, raspberries & blackberries	https://static.openfoodfacts.org/images/products/00015356/front_en.3.400.jpg	0	a		138		0.4	0.1								5.7	5.7				0.8				0.1	0.0393700787401575																																					100					-4	-4							
00030182	Sweet chilli hand cooked	https://static.openfoodfacts.org/images/products/00030182/front_en.3.400.jpg	0	c		2163		3.2	3.2								52.8	2.2			4.6	6.1				1.3	0.511811023622047																																					45					9	9							
0004394	tree ripened papaya	https://static.openfoodfacts.org/images/products/0004394/front_en.6.400.jpg	0		1																																																																								
00054379	Pineapple slices in juice	https://static.openfoodfacts.org/images/products/00054379/front_en.10.400.jpg	0	a		235		0.5	0.1								14	11			0.5	0.5				0.02	0.0078740157480315																																										-3	-3							
00074742	Taste the Difference Raspberry Conserve	https://static.openfoodfacts.org/images/products/00074742/front_en.6.400.jpg	3	c	4	1063		0.9	0.5								59.4	57.4	2		2.9	0.7				0.2	0.078740157480315	0																																									5	5							
00076517	Banana & Berries		0	a	1	251		0.2	0.1								13.1	12			1	0.9				0.1	0.0393700787401575																																					100					-4	-4							
00078832	Berry Medley		0	a	1	226		0.2	0.1								11.9	10.9			1.1	0.7				0.1	0.0393700787401575																																					100					-4	-4							
0009	goji berries		0	a	1	1272		2.88	0.38								61.2	47.1			13.3	15.1				0.264	0.103937007874016																																										-1	-1							
0011194156770	Dark Sweet Cherries	https://static.openfoodfacts.org/images/products/001/119/415/6770/front_en.4.400.jpg	0	a		330		0	0						0	0	19.2	14.7			0.602	0.564				0.0153	0.00602		0					0.000902														0		0.000271																			-2	-2							
00117975	conference pears	https://static.openfoodfacts.org/images/products/00117975/front_en.3.400.jpg	0																																																																										
00132862	Framboises		0	a	1	134		0.3	0.1								4.6	4.6			2.5	1.4				0.1	0.0393700787401575																																										-6	-6							
0013964967401	Noix de coco rapee		0	c	1	2876		68	64								10	7.3			11	6.8				0.1	0.0393700787401575																																										5	5							
0014113230018	Almonds	https://static.openfoodfacts.org/images/products/001/411/323/0018/front.9.400.jpg	0	b	1	2477		49.4	3.7								9.5	3.9			0	21.2				0	0																																										0	0							
0014113911672	Pistachios	https://static.openfoodfacts.org/images/products/001/411/391/1672/front.8.400.jpg	0	c	3	2469		46	5.6								27.7	7.8				21.4				1.3	0.511811023622047																																										8	8							
0014740000015	Compote pommes/poires		0																																																																										
0014800001693	Apple sauce		0																																																																										
0014800001808	Compote		0	b		360		0	0								27	27				0				0	0																																										1	1							
0014800002737	Applesauce Granny Smith	https://static.openfoodfacts.org/images/products/001/480/000/2737/front_en.8.400.jpg	0			186		0									11.1				1.11	0				0.0141	0.00556							0.0167												0.0833																															
00151269	Strawberry & Champagne Conserve	https://static.openfoodfacts.org/images/products/00151269/front_en.7.400.jpg	1	c	3	1069		0.5	0.1								62	58.5			1	0.4				0.100076	0.0394																																										7	7							
0016229000530	Ramboutan Sirop Aroy-d	https://static.openfoodfacts.org/images/products/001/622/900/0530/front_en.9.400.jpg	1	a	4	314		0	0	0	0				0		18	18				0				0.09	0.0354330708661417																																										-2	-2							
