code	name	image	n_additives	nutriscore	nova	energy_100g	energy-from-fat_100g	fat_100g	saturated-fat_100g	monounsaturated-fat_100g	polyunsaturated-fat_100g	omega-3-fat_100g	omega-6-fat_100g	omega-9-fat_100g	trans-fat_100g	cholesterol_100g	carbohydrates_100g	sugars_100g	starch_100g	polyols_100g	fiber_100g	proteins_100g	casein_100g	serum-proteins_100g	nucleotides_100g	salt_100g	sodium_100g	alcohol_100g	vitamin-a_100g	beta-carotene_100g	vitamin-d_100g	vitamin-e_100g	vitamin-k_100g	vitamin-c_100g	vitamin-b1_100g	vitamin-b2_100g	vitamin-pp_100g	vitamin-b6_100g	vitamin-b9_100g	folates_100g	vitamin-b12_100g	biotin_100g	pantothenic-acid_100g	silica_100g	bicarbonate_100g	potassium_100g	chloride_100g	calcium_100g	phosphorus_100g	iron_100g	magnesium_100g	zinc_100g	copper_100g	manganese_100g	fluoride_100g	selenium_100g	chromium_100g	molybdenum_100g	iodine_100g	caffeine_100g	taurine_100g	ph_100g	fruits-vegetables-nuts_100g	fruits-vegetables-nuts-estimate_100g	collagen-meat-protein-ratio_100g	cocoa_100g	chlorophyl_100g	carbon-footprint_100g	nutrition-score-fr_100g	nutrition-score-uk_100g	glycemic-index_100g	water-hardness_100g	choline_100g	phylloquinone_100g	beta-glucan_100g	inositol_100g	carnitine_100g
0000000005241	Bagel		0	b		824		5	1.1								28.7	3				8.4				0.467	0.183858267716535																																										0	0							
0000000005470	BAguette bressan		3	a	4	669		2.2	0.5								25.2	0.6			1.6	9.5				0.358	0.140944881889764																																										-4	-4							
0000001071894	Flute	https://static.openfoodfacts.org/images/products/000/000/107/1894/front_en.7.400.jpg	0		1																																																																								
0000020043131	Sliced Plain Bagel		0	c	3	1527		1.18	0						0	0	71.76	4.71			2.4	12.94				1.19634	0.471		0					0														0.071		0.00424																			3	3							
0000027249635	Plain bagels		0	b		1151		1.5	0.2								55	5.1				9.4				0.61	0.240157480314961																																										1	1							
0000628006569	L'Envoûtante (Pain)		2	c	4	1188		2.1	0.38								54.4	3.1				10.1				1.3	0.511811023622047																																										3	3							
00028264	Gluten Free Melba Toasts With Apricots & Cashew Nuts		4	d	4	1657		11.1	1.3								63.7	15.1			4.2	8.3				1.71	0.673228346456693																																										11	11							
00031059	Ultimate English Muffins		0	c		1234			5.5									3			3.2	8.5				0.899999999999999	0.354330708661417																																										8	8							
00062114	Baguette		0																																																																										
0011110001207	White enriched bread	https://static.openfoodfacts.org/images/products/001/111/000/1207/front_en.5.400.jpg	6	b	4	1050		1.79	0	0	0				0	0	50	7.14			3.57	7.14				1.22	0.482		0					0	0.000429	0.000243	0.00286		8.57e-05									0.143		0.00257																			2	2							
