code	name	image	n_additives	nutriscore	nova	energy_100g	energy-from-fat_100g	fat_100g	saturated-fat_100g	monounsaturated-fat_100g	polyunsaturated-fat_100g	omega-3-fat_100g	omega-6-fat_100g	omega-9-fat_100g	trans-fat_100g	cholesterol_100g	carbohydrates_100g	sugars_100g	starch_100g	polyols_100g	fiber_100g	proteins_100g	casein_100g	serum-proteins_100g	nucleotides_100g	salt_100g	sodium_100g	alcohol_100g	vitamin-a_100g	beta-carotene_100g	vitamin-d_100g	vitamin-e_100g	vitamin-k_100g	vitamin-c_100g	vitamin-b1_100g	vitamin-b2_100g	vitamin-pp_100g	vitamin-b6_100g	vitamin-b9_100g	folates_100g	vitamin-b12_100g	biotin_100g	pantothenic-acid_100g	silica_100g	bicarbonate_100g	potassium_100g	chloride_100g	calcium_100g	phosphorus_100g	iron_100g	magnesium_100g	zinc_100g	copper_100g	manganese_100g	fluoride_100g	selenium_100g	chromium_100g	molybdenum_100g	iodine_100g	caffeine_100g	taurine_100g	ph_100g	fruits-vegetables-nuts_100g	fruits-vegetables-nuts-estimate_100g	collagen-meat-protein-ratio_100g	cocoa_100g	chlorophyl_100g	carbon-footprint_100g	nutrition-score-fr_100g	nutrition-score-uk_100g	glycemic-index_100g	water-hardness_100g	choline_100g	phylloquinone_100g	beta-glucan_100g	inositol_100g	carnitine_100g
00018999	Porridge de Riz		0	a	3	1431		1.6	0.3								73	0.6			3.6	7				0.08	0.031496062992126																																										-3	-3							
00062855		https://static.openfoodfacts.org/images/products/00062855/front_en.4.400.jpg	0			472		2.1									17.8	10.9				4.7				0.103	0.0404																																																		
0011535504734	Fruit & Nut Granola	https://static.openfoodfacts.org/images/products/001/153/550/4734/front_en.7.400.jpg	0	c	3	1940		23.2	4.46								58.9	21.4			8.93	10.7				0	0	0																				0.0714		0.00321																			8	8							
0013964497144	Paleonola, Granola, Original	https://static.openfoodfacts.org/images/products/001/396/449/7144/front_en.15.400.jpg	0	d	3	2389		53.57	12.5						0	0	25	14.29			7.1	14.29				0.09144	0.036		0					0														0.071		0.00386																			15	15							
0015000070014	Oatmeal Cereal single grain	https://static.openfoodfacts.org/images/products/001/500/007/0014/front_en.5.400.jpg	0																																																																										
0015400047258	Rainbo Mallows	https://static.openfoodfacts.org/images/products/001/540/004/7258/front_en.4.400.jpg	2	e	4	21		15	12								45	18				4				2	0.78740157480315																																										21	21							
0016000121850	Reese's puffs	https://static.openfoodfacts.org/images/products/001/600/012/1850/front_en.4.400.jpg	2	b	4	502		3	0.5								22	9			1	2				0	0																																										0	0							
0016000123991	Lucky Charms Magical Unicorn		0	d		1820		4	0								88	40				8				0	0																																										13	13							
0016000141568	Lucky Charms	https://static.openfoodfacts.org/images/products/001/600/014/1568/front_en.20.400.jpg	8	c	4	1619	174	4.08	0						0	0	81.6	38.8			6.12	8.16				0	0		0.000225		6e-06			0.009	45	0.000765	0.009	45	0.00032		2.7e-06							0.15		0.0081		0.00675																	7	7							
0016000275058	Fiber One Original	https://static.openfoodfacts.org/images/products/001/600/027/5058/front_en.3.400.jpg	0	a		837	140	3.33	0	0	1.67				0	0	83.3	0			46.7	6.67				0.931	0.367																			0.367		0.333																					-3	-3							
