code	name	image	n_additives	nutriscore	nova	energy_100g	energy-from-fat_100g	fat_100g	saturated-fat_100g	monounsaturated-fat_100g	polyunsaturated-fat_100g	omega-3-fat_100g	omega-6-fat_100g	omega-9-fat_100g	trans-fat_100g	cholesterol_100g	carbohydrates_100g	sugars_100g	starch_100g	polyols_100g	fiber_100g	proteins_100g	casein_100g	serum-proteins_100g	nucleotides_100g	salt_100g	sodium_100g	alcohol_100g	vitamin-a_100g	beta-carotene_100g	vitamin-d_100g	vitamin-e_100g	vitamin-k_100g	vitamin-c_100g	vitamin-b1_100g	vitamin-b2_100g	vitamin-pp_100g	vitamin-b6_100g	vitamin-b9_100g	folates_100g	vitamin-b12_100g	biotin_100g	pantothenic-acid_100g	silica_100g	bicarbonate_100g	potassium_100g	chloride_100g	calcium_100g	phosphorus_100g	iron_100g	magnesium_100g	zinc_100g	copper_100g	manganese_100g	fluoride_100g	selenium_100g	chromium_100g	molybdenum_100g	iodine_100g	caffeine_100g	taurine_100g	ph_100g	fruits-vegetables-nuts_100g	fruits-vegetables-nuts-estimate_100g	collagen-meat-protein-ratio_100g	cocoa_100g	chlorophyl_100g	carbon-footprint_100g	nutrition-score-fr_100g	nutrition-score-uk_100g	glycemic-index_100g	water-hardness_100g	choline_100g	phylloquinone_100g	beta-glucan_100g	inositol_100g	carnitine_100g
00011679	All Butter Cookies Belgian Chocolate Chunk		3	e	4	2096		26	15.2								60.1	37.4			2.8	5.4				0.899999999999999	0.354330708661417																																										25	25							
00011686	All Butter Sultana Cookies	https://static.openfoodfacts.org/images/products/00011686/front.3.400.jpg	3	e	4	1866		17.9	11								64.3	34.7			3	5.5				0.850000000000001	0.334645669291339																																										22	22							
00011693	All Butter Belgian White Chocolate Chunk Cookies	https://static.openfoodfacts.org/images/products/00011693/front.10.400.jpg	3	e	4	2171		29.1	17								58.4	33.5			1.3	5.5				1	0.393700787401575																																										26	26							
00011709	All Butter Fruity Flapjack Cookies	https://static.openfoodfacts.org/images/products/00011709/front.6.400.jpg	5	e	4	1887		20.5	13.3								59.3	36.5			4.2	5.1				0.779999999999999	0.307086614173228																																					27					22	22							
00011723	Cookies aux pistaches et amandes		3	e	4	2209		32.1	14.9								46.9	20.7			4.5	10.7				0.7	0.275590551181102																																										19	19							
00011730	All butter Cranberry & Orange Cookies	https://static.openfoodfacts.org/images/products/00011730/front.7.400.jpg	5	e	4	1806		15.2	8.6								67.5	41.2			2.7	4.4				0.75	0.295275590551181																																										23	23							
00011747	Triple Belgian Chocolaté Chunk Cookies	https://static.openfoodfacts.org/images/products/00011747/front.3.400.jpg	0	e		2184		29.3	17								57.4	34.4			2.9	5.6				0.85	0.334645669291339																																										23	23							
00011754	Cookies Stem Ginger		3	e	4	1979		20.8	13.7								63.6	31.8			3.3	6.1				0.58	0.228346456692913																																										21	21							
00011778	Stem Ginger Cookies		4	e	4	1809		13.3	7								70.2	35.7			2.5	6.1				0.83	0.326771653543307																																										19	19							
00011815	Stem Ginger Dunkers	https://static.openfoodfacts.org/images/products/00011815/front.8.400.jpg	3	e	4	1981		20.8	13.7								63.6	31.8			3.3	6.1				0.570000000000001	0.224409448818898																																										21	21							
00023092	4 Indulgent & Chewy Maple Syrup & Pecan Giant Cookies		2	e	4	2030		26.8	7.6								54.2	29.4			1.9	6				0.370000000000001	0.145669291338583																																				12						19	19							
00030908	All Butter Summer Trifle Cookies	https://static.openfoodfacts.org/images/products/00030908/front_en.13.400.jpg	0	e		1986		21.5	10.1								62.5	30.5			3.2	5.9				1.02	0.401574803149606																																										22	22							
0008077102146	Hello Panda	https://static.openfoodfacts.org/images/products/000/807/710/2146/front_en.6.400.jpg	2	e	4	2230	1110	26.7	13.3						0	0.0333	66.7	33.3			6.67	6.67				0.931	0.367		0					0														0.133		0.0024																			22	22							
00109031	Crispy Crunchy Oatmeal Raisin Cookies		0	e	4	2092		26.6	13.3								63.3	30				6.66				0.4	0.15748031496063																																										23	23							
00117746	Reduced Fat Belgian Chocolate Chunk Cookies	https://static.openfoodfacts.org/images/products/00117746/front.3.400.jpg	4	e	4	1928		17.7	10.1								68.5	44.4			2.7	5.1				0.81	0.318897637795276																																										25	25							
0011778	All Butter Reduced Fat Stem Ginger Cookies		4	e	4	1809		13.3	7								70.2	35.7			2.5	6.1				0.83	0.326771653543307																																										19	19							
0014100042587	Milano Lemon Flavored Chocolate	https://static.openfoodfacts.org/images/products/001/410/004/2587/front_en.6.400.jpg	0	e		2090		26.9	15.4								61.5	34.6			3.85	3.85				0.391	0.154																																										20	20							
0014100042631	Milano dulce de leche	https://static.openfoodfacts.org/images/products/001/410/004/2631/front_en.12.400.jpg	2	e	4	2130	984	27.4	15.7						0	0.0196	62.7	35.3			0	3.92				0.448	0.176		0					0														0.0784		0.00141																			24	24							
0014100074038	Milano Distinctive Cookies		1	e	4	2260		30.6	14.1							0.0235	61.1	30.6			2.35	7.05				0.627	0.247																							0.00169																			22	22							
0014100074359	Milano Orange Flavored Chocolate	https://static.openfoodfacts.org/images/products/001/410/007/4359/front_en.10.400.jpg	1	e	4	2180	1170	28	20						0	0.02	64	32			4	4				0.66	0.26		0					0														0		0.00288																			21	21							
0014100074724	Milano Double Chocolate	https://static.openfoodfacts.org/images/products/001/410/007/4724/front_en.14.400.jpg	2	e	4	2170			13						0		63	33.3			3.7	3.7				0.423	0.167																							0.00533																			21	21							
0014100075226	Tahoe White Chocolate Macadamia	https://static.openfoodfacts.org/images/products/001/410/007/5226/front_en.18.400.jpg	1	e	4	2090	804	23.1	13.5						0	0.0192	65.4	38.5			0	3.85				0.586	0.231		0					0														0		0																			26	26							
0014100077084	Chesapeake Dark Chocolate Pecan	https://static.openfoodfacts.org/images/products/001/410/007/7084/front_en.7.400.jpg	0	e		2343		32	12								63	32				8				0.32	0.125984251968504																																										24	24							
0014100077121	Sausalito Milk Chocolate Macadamia	https://static.openfoodfacts.org/images/products/001/410/007/7121/front_en.8.400.jpg	1	e	4	2090	804	23.1	13.5						0	0.0192	65.4	38.5			0	3.85				0.586	0.231		0					0														0		0																			26	26							
0014100078609	Double chocolate Nantuket Dark Chocolate	https://static.openfoodfacts.org/images/products/001/410/007/8609/front_en.12.400.jpg	0	e		2090	896	25	10.7						0	0.0357	67.9	28.6			0	3.57				0.952	0.375		0					0														0		0.00386																			26	26							
0014100096979	Chocolate Chunk Crispy Cookies - Dark Chocolate Pecan	https://static.openfoodfacts.org/images/products/001/410/009/6979/front.19.400.jpg	4	e	4	2269		32.4	12.8								57.8	34			5.4	5.1				0.8001	0.315																																					10					21	21							
0014100096986	Chocolate Chunk Dark Double Chocolate Crispy Cookies	https://static.openfoodfacts.org/images/products/001/410/009/6986/front.8.400.jpg	5	e	4	2075		26	15								58	37			5.8	5.2				0.65	0.255905511811024																																										21	21							
0014100097006	Chocolate Chunk Milk Chocolate Macadamia Crispy Cookies	https://static.openfoodfacts.org/images/products/001/410/009/7006/front.8.400.jpg	4	e	4	2230		30.4	14.3								60.1	32.6			4.2	4.9				0.7	0.275590551181102																																										22	22							
0014100097013	Chocolate Chunk White Chocolate Macadamia Crispy Cookies	https://static.openfoodfacts.org/images/products/001/410/009/7013/front.6.400.jpg	4	e	4	2167		29	14								58	33			0	6				0.8	0.31496062992126																																										26	26							
0014100097037	Soft Baked Chocolate Chunk Dark Chocolat Brownie	https://static.openfoodfacts.org/images/products/001/410/009/7037/front.14.400.jpg	5	e	4	1946		19.2	10.6								67.3	41.7			5.7	5.3				0.5	0.196850393700787																																										21	21							
0014100097068	Soft Baked Santa Cruz Oatmeal Raisin Cookies	https://static.openfoodfacts.org/images/products/001/410/009/7068/front.6.400.jpg	0	d		1753		14.5	4.8								74.2	41.9			6.5	6.5				0.7366	0.29																																										16	16							
0014100098416	Lexington Milk Chocolate Toffee Almond	https://static.openfoodfacts.org/images/products/001/410/009/8416/front_en.7.400.jpg	0	e		2090	965	26.9	11.5						0	0.0385	65.4	38.5			3.85	3.85				0.879	0.346		0					0														0		0.00277																			23	23							
0014100098423	Maui Milk Chocolate Coconut Almond	https://static.openfoodfacts.org/images/products/001/410/009/8423/front_en.14.400.jpg	0	e		2090	965	26.9	13.5						0	0	65.4	34.6			3.85	3.85				0.684	0.269		0					0														0		0.00138																			21	21							
0014100098980	Cookies soft baked	https://static.openfoodfacts.org/images/products/001/410/009/8980/front_en.12.400.jpg	5	e	4	1916		17.1	9.5								70.8	40.8			2.2	4.8				0.6	0.236220472440945																																										23	23							
0018000817818	Chocolate Chunk & Chip	https://static.openfoodfacts.org/images/products/001/800/081/7818/front_en.10.400.jpg	3	e	4	1870		18.4	9.21						0	0.0132	63.2	39.5			2.63	2.63				0.902	0.355		0					0														0		0.000947																			23	23							
0020200070061	Girl Scout Cookies Thin Mints	https://static.openfoodfacts.org/images/products/002/020/007/0061/front_en.3.400.jpg	2		4																																																																								
00214036	Cinnamon Schoolbook Cookies	https://static.openfoodfacts.org/images/products/00214036/front_en.7.400.jpg	0	d	4	1810	487	13.3	6.67						0	0	76.7	26.7			3.33	6.67				0.593	0.233		0					0														0		0.0024																			15	15							
0021908509372	Chocolate Chip Cookie Dough	https://static.openfoodfacts.org/images/products/002/190/850/9372/front_en.9.400.jpg	0	d	3	1950	929	24.4	6.67	13.3	3.33				0	0	62.2	35.6			6.67	8.89				0.31	0.122		0					0												0.667		0	0.222	0.004	0.133		0.000889																14	14							
0024300041112	Marshmallow Pies	https://static.openfoodfacts.org/images/products/002/430/004/1112/front_en.9.400.jpg	5	e	4	1750	584	16.3	9.3						0	0	65.1	34.9			0	4.65				0.62	0.244		0					0														0		0.00167																			23	23							
0030100053149	Vanilla Wafers	https://static.openfoodfacts.org/images/products/003/010/005/3149/front_en.12.400.jpg	2	c	4	586		5	1.5	1	2						22	9			1	1				0.3048	0.12		0					0														0		0																			3	3							
0030100103417	Cookies Made with M&M'S  Bite Size		7	e	4	2140		24.4	10								66.7	33.3			2.22	4.44				0.79	0.311																																										23	23							
0031535595105	Premium Blueberry Shortbread	https://static.openfoodfacts.org/images/products/003/153/559/5105/front_en.7.400.jpg	0	d		1790	746	17.9	3.57						0	0.0179	57.1	21.4			0	3.57				0.544	0.214		0.000214					0														0		0.00386																			14	14							
0033454002535	Black & White Cookies, 9 individually wrapped cookies	https://static.openfoodfacts.org/images/products/003/345/400/2535/front_en.10.400.jpg	3	d	4	1570		12.5	6.25						0	0.0375	60	35			0	5				0.286	0.113																					0.05		0.0018																			18	18							
0039047001824	Chocolate Chip Shortbread		1	e	4	2167		27.6	17.2								61.3	25.7			2	5.2				0.7	0.275590551181102																																										22	22							
00404426	Oatberry Cluster Mini Bites	https://static.openfoodfacts.org/images/products/00404426/front.3.400.jpg	2	e	4	2059		23.4	16.6								62.3	43.9			2	7.1				0.18	0.0708661417322835																																										23	23							
0044000007492	Oreo	https://static.openfoodfacts.org/images/products/004/400/000/7492/front_en.7.400.jpg	1	e	4	1970		20.6	5.88						0	0	73.5	41.2			2.94	2.94				1.01	0.397		0					0												0.162		0		0.00424																			20	20							
0044000012625	Newtons Fruit Thins	https://static.openfoodfacts.org/images/products/004/400/001/2625/front_en.9.400.jpg	1	d	4	1890	674	16.1	3.23	3.23	9.68				0	0	71	22.6			6.45	6.45				0.737	0.29		0					0												0.194		0		0.00348																			11	11							
0044000028541	Double Stuf Oreo	https://static.openfoodfacts.org/images/products/004/400/002/8541/front.3.400.jpg	0	e		2021		24.1	6.9								72.4	44.8			1	3.45				0	0																							0.00108																			20	20							
0044000032029	Oreo	https://static.openfoodfacts.org/images/products/004/400/003/2029/front_en.7.400.jpg	1	e	4	1970		20.6	5.88						0	0	73.5	41.2			2.94	2.94				1.01	0.397		0					0												0.162		0		0.00424																			20	20							
0044000032586	Golden Oreo	https://static.openfoodfacts.org/images/products/004/400/003/2586/front_en.8.400.jpg	1	e	4	1970		20.6	5.88	10.3	2.94				0	0	70.6	35.3			0	2.94				0.896	0.353		0					0												0.0441		0		0.00318																			20	20							
0044000033279	Oreo	https://static.openfoodfacts.org/images/products/004/400/003/3279/front_en.5.400.jpg	1	c	4	669		7	2								25	14				1				0.135	0.0531496062992126																																										5	5							
0044000033392	Chocolate Chip Chewy Cookies - Family Size	https://static.openfoodfacts.org/images/products/004/400/003/3392/front_en.8.400.jpg	2		4	1890		19.4	9.68								67.7	38.7			3.23					0.778	0.306																			0.0968				0.00232																											
0044000037420	Oreo smile	https://static.openfoodfacts.org/images/products/004/400/003/7420/front_en.12.400.jpg	1	e	4	1980		19.3	6.14						0	0	71.9	40.4			3.51	3.51				1.07	0.421		0					0														0.0351		0.00189																			21	21							
0044000043551	BelVita Breakfast	https://static.openfoodfacts.org/images/products/004/400/004/3551/front_en.3.400.jpg	3	b	4																																																																0	0							
0044000044435	Cinnamon Bun OREO	https://static.openfoodfacts.org/images/products/004/400/004/4435/front_en.12.400.jpg	1	e	4	2170	207	24.1	8.62						0	0	72.4	44.8			0	3.45				0.613	0.241																			0.0517				0.00124																			25	25							
0044000072742	Oreo	https://static.openfoodfacts.org/images/products/004/400/007/2742/front_en.7.400.jpg	1	e	4	1970	738	20.6	5.88						0	0	73.5	41.2			2.94	2.94				1.01	0.397		0					0												0.162		0		0.00424																			20	20							
