code	name	image	n_additives	nutriscore	nova	energy_100g	energy-from-fat_100g	fat_100g	saturated-fat_100g	monounsaturated-fat_100g	polyunsaturated-fat_100g	omega-3-fat_100g	omega-6-fat_100g	omega-9-fat_100g	trans-fat_100g	cholesterol_100g	carbohydrates_100g	sugars_100g	starch_100g	polyols_100g	fiber_100g	proteins_100g	casein_100g	serum-proteins_100g	nucleotides_100g	salt_100g	sodium_100g	alcohol_100g	vitamin-a_100g	beta-carotene_100g	vitamin-d_100g	vitamin-e_100g	vitamin-k_100g	vitamin-c_100g	vitamin-b1_100g	vitamin-b2_100g	vitamin-pp_100g	vitamin-b6_100g	vitamin-b9_100g	folates_100g	vitamin-b12_100g	biotin_100g	pantothenic-acid_100g	silica_100g	bicarbonate_100g	potassium_100g	chloride_100g	calcium_100g	phosphorus_100g	iron_100g	magnesium_100g	zinc_100g	copper_100g	manganese_100g	fluoride_100g	selenium_100g	chromium_100g	molybdenum_100g	iodine_100g	caffeine_100g	taurine_100g	ph_100g	fruits-vegetables-nuts_100g	fruits-vegetables-nuts-estimate_100g	collagen-meat-protein-ratio_100g	cocoa_100g	chlorophyl_100g	carbon-footprint_100g	nutrition-score-fr_100g	nutrition-score-uk_100g	glycemic-index_100g	water-hardness_100g	choline_100g	phylloquinone_100g	beta-glucan_100g	inositol_100g	carnitine_100g
00062855		https://static.openfoodfacts.org/images/products/00062855/front_en.4.400.jpg	0			472		2.1									17.8	10.9				4.7				0.103	0.0404																																																		
0011535504734	Fruit & Nut Granola	https://static.openfoodfacts.org/images/products/001/153/550/4734/front_en.7.400.jpg	0	c	3	1940		23.2	4.46								58.9	21.4			8.93	10.7				0	0	0																				0.0714		0.00321																			8	8							
0013964497144	Paleonola, Granola, Original	https://static.openfoodfacts.org/images/products/001/396/449/7144/front_en.15.400.jpg	0	d	3	2389		53.57	12.5						0	0	25	14.29			7.1	14.29				0.09144	0.036		0					0														0.071		0.00386																			15	15							
0018627597612	GoLean Crunch Honey, Almond, Flax	https://static.openfoodfacts.org/images/products/001/862/759/7612/front_en.15.400.jpg	1	a	3	1660		10.3	0.862								67.2	22.4			15.5	17.2				0.276	0.109																																										-1	-1							
0036800420649	Triple Berry Granola	https://static.openfoodfacts.org/images/products/003/680/042/0649/front_en.4.400.jpg	0	a	3	460		3.5	0.75	5.77	4.81				0	0	7	7			7.7	3				0	0		0					0														0.038		0.00277																			-4	-4							
0039978326621	Bob's Red Mill Organic Whole Grain Natural Granola		1	a	3	920		3.5	0.5								41	14			4	5				0	0																																										-2	-2							
0041169505036	Granola sans gluten Muesli fruits secs et sarrasin		0	d	3	1950		25.6	3.53								49.3	24.7				13.4				0.0016	0.00062992125984252																																										13	13							
0041498310424	Cranberry Streusel Granola	https://static.openfoodfacts.org/images/products/004/149/831/0424/front_en.4.400.jpg	2	a	4	1130		9	1	5	2				0		45	18			4	5				0.1778	0.07	0	0					0														0.02		0.00144																			-1	-1							
0055577105313	Harvest Crunch Granola Cereal Original	https://static.openfoodfacts.org/images/products/005/557/710/5313/front_en.3.400.jpg	0	d	4	1950		17.7	13.3								68	22			4	11.1				0.8	0.31496062992126																					0.02		0.00144																			18	18							
0055577105450	Croque Nature Chocolat Noir, Canneberges et Amandes		1		4																																																																								
0058449162063	Love Crunch Dark Chocolate & Peanut Butter	https://static.openfoodfacts.org/images/products/005/844/916/2063/front_en.4.400.jpg	1	c	4	2050		16.4	1.82						0	0	60	21.8			10	12.7				0.255	0.1		0					0														0.0655		0.00595																			7	7							
0058449771807	Organic Love Crunch Premium Organic Granola Dark Chocolate & Red Berries	https://static.openfoodfacts.org/images/products/005/844/977/1807/front_en.4.400.jpg	1	c	4	1950	767	20	3.33	5	10				0	0	66.7	20			6.67	6.67				0.466	0.183																																										9	9							
0058449772019	Organic Granola - Dark Chocolate Macaroon		0	d		2050		21.8	9.09								65.5	23.6			7.27	7.27				0.439	0.173							0.00655														0.0364		0.00491																			16	16							
0058449890096	Peanut butter granola	https://static.openfoodfacts.org/images/products/005/844/989/0096/front_en.4.400.jpg	1	b	3	1975		20	2.7						0	0	63.6	16.4			7.3	12.7				0.13	0.0511811023622047		0					0												0.291		0.036		0.00327																			0	0							
0065633433281	Avoine croquante Trio de petits fruits		3	b	4	1630		3.7	0.926								81.5	22.2			5.56	9.26				0.541	0.213		0		0			0.00444	14.8	0.000126	0.0037	37		0.000111	0		0.00185					0.037	0.278	0.0167	0.148	0.00417																	0	0							
00818896	Apple & Cinnamon Crunch		4	d	4	1854		14.4	6.5								68	21			5	7.8				0.41	0.161417322834646																																					3					11	11							
00819039	Fruit and Fibre Muesli	https://static.openfoodfacts.org/images/products/00819039/front.3.400.jpg	1	d	3	1590		10.4	4.9								59	28.7				8.7				0.1	0.0393700787401575																																										14	14							
00819046	Céréales Crunch Aux Amandes	https://static.openfoodfacts.org/images/products/00819046/front.3.400.jpg	0	d		2042		23.3	7.2								57.4	15.3				9.9				0.4	0.15748031496063																																										17	17							
00819282	Fruit & Nut Muesli		1	a	3	1460		5.5	0.9								60	23.4			10.8	9.5				0.0299999999999999	0.0118110236220472																																										-1	-1							
00847049	Muesli Complet		0	a	3	1510		4.7	0.6								63.5	1			9.4	11.4				0.08	0.031496062992126																																										-6	-6							
00849364	Multiseed Granola Whole Grain & High in Fibre		0	a	3	1883		14.7	1.8								61	10.6			9.2	13.9				0.1	0.0393700787401575																																										-2	-2							
00912754	3 Seed & Oat Granola	https://static.openfoodfacts.org/images/products/00912754/front_en.3.400.jpg	0	a		1937		20	2.5								50.8	12.7			7.7	16.1				0.08	0.031496062992126																																										-1	-1							
00913744	Muesli		0	a		1632		10.9	1.7								56.7	20			9.2	11.6				0	0																																										-1	-1							
00933216	4 Nut And Flame Raisin Granola		0	c	3	1916		18.5	1.8								59.5	23.3			6.5	10				0.1	0.0393700787401575																																				20						6	6							
0096619203406	Muesli		0	c		1674		13.1	3								55.2	15.2				10.6				0	0																																										4	4							
01817966	Fruity muesli	https://static.openfoodfacts.org/images/products/01817966/front_en.3.400.jpg	1	b	3	1439		2.5	0.6								71.6	29.9			5.7	5.9				0.04	0.015748031496063	0																																									2	2							
0227628013582	Muesli céréales et fruits secs	https://static.openfoodfacts.org/images/products/022/762/801/3582/front.3.400.jpg	0		3	1683		8.1									66.2					10.3																																																							
02981444	hi8 muesli original, flahavan's	https://static.openfoodfacts.org/images/products/02981444/front_en.6.400.jpg	0	a	3	1502		5.2	1.4								72	21			5.3	11				0	0	0																																									-1	-1							
05010026516619	Oatbran Crisp Noix & Miel		4	c	4	1791		18	4.8								52.9	20.1			7.7	9.7				0.03	0.0118110236220472																																										8	8							
0628154048831	Honey Bunches of Oats Honey Roasted		1	c	4	1506		4.5	0.6								75	18			2	6				0.5	0.196850393700787																																										4	4							
0645380999836	geNUSS[explosion] - Das Low Carb Knusper Müsli		0	d	3	2406		52	31								22	6.3		11	12	13				0.2	0.078740157480315																																										13	13							
0645380999843	geNUSS[explosion] - Das Low Carb Knusper Müsli		0	d	3	2406		52	31								22	6.3		11	12	13				0.2	0.078740157480315																																										13	13							
0645380999867	durch den [KAKAO] gezogen - Das Low Carb Knusper Müsli		0	d	3	2073		42	27								24	4.3		16	15	15				0.46	0.181102362204724																																										13	13							
06548766	Muesli noisettes		0	b		1615		7.3	1.2								66.3	13.5				8.7				0.03	0.0118110236220472																																										2	2							
0655852000267	Vanilla Crunch Granola	https://static.openfoodfacts.org/images/products/065/585/200/0267/front_en.5.400.jpg	0	c	4	1840	418	12	1						0	0	78	34			6	8				0.381	0.15		0					0														0.04		0.0036																			8	8							
06935351	Muesli		0	d		1565		8.7	4.3								61	20				8.9				0.05	0.0196850393700787																																										12	12							
07228179	Croustillants Fruits Rouges	https://static.openfoodfacts.org/images/products/07228179/front.3.400.jpg	0																																																																										
07796111	Muesli aux canneberges goji myrtilles		0	a	3	1544		6.4	1.2								65	13			7.8	9.4				0.02	0.0078740157480315	0																																									-3	-3							
